timestamp,age,subscribed,work,like,add,expert,invest,income,capital,roi,passive,hopes,pains,barriers,area,area_m,buy,price
12/20/2022 9:08:40,45-55,1-2 года,Работаю в найме,Подача материала,Показательное ведение портфеля ,Масштабированию ,Занимаюсь инвестированием больше года,50-100 тыс. руб,500000,15-20%,100000,Маральное спокойствие за дальнейшую жизнь,"Не на все достаточно средств, что бы хотелось.",,Фондовый рынок РФ,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им","Зависит от того, что будет внутри продукта",40000
12/20/2022 9:10:28,25-30,1-2 года,Работаю в найме,Посты в телеграме ,Больше жизненых ситуаций с инвестициями ,Построению стратегии инвестирования,Занимаюсь инвестированием больше года,50-100 тыс. руб,"Столько, чтобы мог получать пассивный доход в 100т.р",10%,100т.р.,Буду спокойнее за текущую финансовую ситуацию ,Маленькая зарплата. Медленно растёт зарплата. Нет подушки безопасности. ,Понемногу инвестирую,Зарубежные фондовые рынки,"Составление личного/семейного финансового плана, Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им",Зависит от стоимости,Не могу сказать
12/20/2022 9:12:21,Больше 55,Пол года - год,Работаю в найме,Простота изложения материала ,Затрудняюсь ответить ,Грамотно управлять финансами ,Занимаюсь инвестированием больше года,50-100 тыс. руб,100000,15-30%,15-30%,Больше свободного времени для любимых дел,Сохранить и приумножить ,,Самостоятельная торговля на фондовом рынке,"Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Внутридневная торговля, Торговля фьючерсами и опционами","Зависит от того, что будет внутри продукта",10000-30000
12/20/2022 9:15:04,35-44,1-3 месяца,Работаю в найме,Analitika,Obzori rinkov,Metodi ocenki aktivov,Занимаюсь инвестированием больше года,150-300 тыс. руб,10000 usd,11,500 usd per month,Ciuvstvo bolshei stabilnosti,Vsio ustraivaet,,Зарубежные фондовые рынки,Инвестиции в фондовые рынки за границей,Net,Ne interesno
12/20/2022 9:21:33,35-44,1-2 года,Работаю в найме,понятный язык,конкретных решений,объединять людей,Занимаюсь инвестированием больше года,100-150 тыс. руб,500000,15%,50000,отпуск,много работы,,Фондовый рынок РФ,"Экономия и планирование расходов, Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля",Зависит от стоимости,20000
12/20/2022 9:21:36,35-44,3-6 месяцев,Работаю в найме,Короткие видеоролики о конкретных финансовых инструментах. ,Рабочий портфель с ребалансировкой,"Грамотно анализировать фондовый рынок, умение выбирать определенные финансовые инструменты, делать прогнозы по рынку",Занимаюсь инвестированием больше года,Постоянный минус,"Уже вложено 1,5 млн, потерял 700 тыс. Занимаюсь только усреднением ",От 600 тыс,От 50 тыс в месяц,Использовать на развитие бизнеса,"Кредиты, ипотеки, отсутствие финансовой свободы",,Фондовый рынок РФ,Преумножение имеющегося инвестиционного портфеля,Зависит от стоимости,От 10 000
12/20/2022 9:25:11,35-44,3-6 месяцев,Работаю в найме,"Четкая простая подача информации,  по делу и без воды",Больше стратегий для создания пассивного дохода,Формировать оптимальный инвест. портфель,"Да, занимаюсь 1-6 месяцев",300-500 тыс. руб,1000000,11%,200 000,"Уйду из найма, перееду в другой город и начну свой бизнес","1. Отсутствие стабильного пассивного дохода, покрывающего текущие расходы 
2. Непонимание куда инвестировать для создания инаестиционного капитала на будущее (на пенсию) 
3. Отсутствие стратегии распопяжения деньгами (куда, сколько ежемесячно вкладывать)","Нужно больше свободного времени, чтобы заниматься этим самой, есть недоверие к финансовым институтам в теккщей ситуации",Криптовалюта,"Формирование пассивного дохода для выхода на пенсию, Создание собственного инвестиционного портфеля и управление им, Криптовалюта","Зависит от того, что будет внутри продукта",Зависит от продолжительности и наполнения курса. Комфортно в пределах 10 000 р.
12/20/2022 9:29:19,31-34,3-6 месяцев,Работаю в найме,Советы по фин грамотности ,"Примеров, разборов кейсов ситуаций рынка, компаний и тд",Подход к инвестированию,Планирую начать,50-100 тыс. руб,500000,"Хочу инвестировать 40% в акции доходность хотелось бы 12, 60% средств в формирование кубышки с доходностью выше инфляции и купонами и дивами",От 50000,Буду спокойнее и освободится время для семьи и образования,Долг в 1 млн,Весь зароботок уходит в погашение долга ,Фондовый рынок РФ,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Понять, как закрыть кредиты и избавиться от долгов, Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им","Зависит от того, что будет внутри продукта","10000, но с возможностью купить главы отдельно "
12/20/2022 9:33:45,35-44,3-6 месяцев,Работаю в найме,Советы по финансовой грамотности,Анализ событий/новостей с точки зрения финансового импакта,Долгосрочным инвестициям,Планирую начать,150-300 тыс. руб,5000 USD,30%,Покрытие обязательных расходов и немного добавленного комфорта (250 000 RUB),Избавление от зависимости от работы в найме,"Отсутствие знаний для инвестирования на фондовой бирже;
Принятие больших рисков для получения большей прибыли.",,Самостоятельная торговля на фондовом рынке,"Формирование пассивного дохода для выхода на пенсию, Инвестиции в недвижимость, Инвестиции в фондовые рынки за границей, Внутридневная торговля, Криптовалюта","Зависит от того, что будет внутри продукта",5000-10000 рублей
12/20/2022 9:40:40,35-44,1-3 месяца,Работаю в найме,"простота изложения, актуальность новостей, подача с юмором", всего хватает ,фондовый рынок,Планирую начать,50-100 тыс. руб,10000,,40000,"этого хватило бы на платежи по текущим кредитам,я бы досрочно их погасила и купила детям недвижимость ","закредитованность, фин.неграмотность, нехватка денег",,Криптовалюта,Криптовалюта,Зависит от стоимости,10000
12/20/2022 9:41:16,25-30,1-3 месяца,Футболист,Хорошие разъяснения,Практичных действие. Что делаете с бумагами ,Инвестированию ,"Пробовал-(а), но сейчас не инвестирую",Не зарабатываю,400000,,3000000,Продолжу увеличивать ,Не могу закончить ремонт из-за чего не откладываю ,Ремонт которые съедает деньги ,Недвижимость,Инвестиции в недвижимость,"Зависит от того, что будет внутри продукта",10000
12/20/2022 9:42:47,35-44,1-2 года,Работаю в найме,Лаконичность,Криптовалюты,Сохранению заработанного,Занимаюсь инвестированием больше года,100-150 тыс. руб,100,120,10.000 в месяц ,"Жене можно будет не работать, а сконцентрироваться на детях","1) Занятость жены
2) Недоступность путешествовать
3) Лишний вес ",Неправильно выбрал время начала,Фондовый рынок РФ,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Криптовалюта","Зависит от того, что будет внутри продукта",5000
12/20/2022 9:52:13,45-55,Пол года - год,Работаю в найме,Ваша аналитика ,Пока всё устраивает ,Ваш опыт ,Занимаюсь инвестированием больше года,20-50 тыс. руб,30000,18,50000,Перестану тратить время на госслужбе , Нет проблем ,,Фондовый рынок РФ,"Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей","Зависит от того, что будет внутри продукта",Цена-качество 
12/20/2022 10:02:00,45-55,1-3 месяца,Работаю в найме,Разбор эмитентов рынка ,Больше разборов компаний и больше советов,Хочу научиться видеть в компаниях смысл её пребывания в моем портфеле,Занимаюсь инвестированием больше года,50-100 тыс. руб,20000,15-20%,Такой же,"У меня будет больше времени, чтобы заняться самообразованием и личной жизнью ","Инфляция, ненадежность российского фондового рынка, нехватка денег",Я инвестируют регулярно,Индексные фонды,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Создание собственного инвестиционного портфеля и управление им","Зависит от того, что будет внутри продукта",Затрудняюсь ответить
12/20/2022 10:05:17,35-44,1-2 года,Собственный бизнес,Разборы фин. инструментов типа etf-ов,Возможные варианты (обзоры) работы с зарубежными брокерами,"Всему (фин.сторне жизни - и инвестированию, и ведению бизнеса 😁",С 2016,20-50 тыс. руб,1000000,"В рублях - 15-20%, в долларах/евро - офиц.инфляция+3-5%",75000-100000 в месяц,"Скорее всего не изменится - также буду искать возможность заработать, купить недвижимость, инвестировать в ценные бумаги, пробовать себя в бизнесе","1. Имеющийся пассивный дохода (45 000)  не хватает на полноценную жизнь (покупать одежду себе и детям, путешествовать 1раз в год, и тд и тп);
2. Бизнес не приносит ощутимой прибыли, т.к. только начинаю в незнакомой сфере;
3. Пассивный и активный доход в рублях. Хочу довести 50% дохода в валюте (доллар/евро).","С 2016г инвестировал через БКС. 
25-28 декабря 2021г продал большую часть акции, оставив облигации и етф. Летом 2022 вывел деньги с БКС. Сейчас, застряли бумаги на 1 млн рублей (преимущественно финексовские и тинька фонды), доверия нет этой системе. Банки просят доказать происхождение денег, хотя до 7 октября 2022 был официально трудоустроен на позициях директора по сервису и директору по развитию. Банкам тоже нет доверия. Налоговая лютует. ",Недвижимость,"Составление личного/семейного финансового плана, Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в недвижимость, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им",Зависит от стоимости,Смотря от содержания
12/20/2022 10:05:59,Больше 55,Больше двух лет,Собственный бизнес,Быстрая реакция на события,"Объяснений к прогнозированию.  Ответов на вопрос"" почему"".  ","Быстрая ориентация на события. Другие больше времени тратят на разбор и делают мб более верные выводы чем вы. Но , к тому времени , их выводы устаревшие.  Ваши мб не столь четкие , но более своевременные , которые соответственно , более прикладные. ",Занимаюсь инвестированием больше года,150-300 тыс. руб,1-5 млн. Рублей. ,Не менее 10% в долларах в данных условиях. ,200 тыр рублей ,Больше буду путешествовать. ,"Доходность инвестиций. 
Риск закрытия иностранного брокера. Ручное регулирование экономики ( читай , непредсказуемость) государством. ",,Зарубежные фондовые рынки,"Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им",Соотношение цены /качества ( наполнения ),Нет продукта же. Как его оценить ?
12/20/2022 10:11:54,35-44,3-6 месяцев,В отпуске по уходу за ребёнком до 3- х лет,"Разбор компаний, их доходности.","Затрудняюсь ответить, я - новичок в инвестициях ",Получать прибыль,"Да, занимаюсь 1-6 месяцев",Рублей 100 😕,Не более 1500-2000,,От 10000 в месяц ,Больше инвестировать и тратить на отдых и развлечения.,"""Молодым"" мамам чаще всего не хватает финансов.",,Фондовый рынок РФ,"Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России",Пока не могу себе позволить платные курсы,От 5000
12/20/2022 10:10:14,45-55,Пол года - год,Работаю в найме,Основы финансовой грамотности инвестирования ,Больше информации по инвестированию и инструментам,Понимание рынка,"Да, занимаюсь 1-6 месяцев",50-100 тыс. руб,60000,30%,500 000 в год,"Изменится сама жизнь, благополучие, доход, и правильность расстановки приоритетов","Неправильное распределение финансов, кредит, отсутствие стратегии ",Начал но в связи текущими событиями мой портфель просел на 53%,Фондовый рынок РФ,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Понять, как закрыть кредиты и избавиться от долгов, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им, Внутридневная торговля","Да, купил(а) бы сразу",Затрудняюсь ответить 
12/20/2022 10:14:10,31-34,1-3 месяца,Работаю в найме,Приятная человеческая подача информации,"Скорее всего всего хватает, просто я половину происходящего не понимаю 😅","Самым базовым вещам, инвестициям с самого нуля (не в плане нуля денег, а нуля знаний)","Нет, не пробовал-(а)",50-100 тыс. руб,50000,,"Понятия не имею, допустим 20000?","В финансовом плане в общем-то ничего, но я пойму, что инвестиции работают и как пользоваться этим инструментом и в дальнейшем буду меньше просто откладывать деньги, как сейчас, и больше вкладывать","1. Заработок не успевает в 2022 за скачком цен, конечно. На всё хватает, но некомфортное ощущение, что надо ужиматься. 2. Понимание, что есть огромная финансовая сфера, о которой я вообще ничего не знаю, которая могла бы работать мне на благо 3. Нет успокающего пассивного дохода",Не понимаю даже примерно с чего начинать,?,"Формирование пассивного дохода для выхода на пенсию, Создание собственного инвестиционного портфеля и управление им, Криптовалюта","Зависит от того, что будет внутри продукта",10000
12/20/2022 10:15:55,45-55,Больше двух лет,Работаю в найме,"Все, что касается российского рынка ценных бумаг",ИИС во чт инвестировать в долгую ,В данный момент какой портфель на ИИС собрать из фондов,Занимаюсь инвестированием больше года,20-50 тыс. руб,20000,,50000,Планирую к тому времени выйти на пенсию,"Не получается создавать подушку безопасности - все трачу в итоге, Надежда на ИИС на долгосрок",,Фондовый рынок РФ,"Понять, как закрыть кредиты и избавиться от долгов, Формирование пассивного дохода для выхода на пенсию, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им","Зависит от того, что будет внутри продукта",30000
12/20/2022 10:27:15,25-30,1-2 года,Работаю в найме,Новие ринки ,Больше о западних и индо-китайских компаниях,"Економическая грамотность, тех анализ?",Занимаюсь инвестированием больше года,50-100 тыс. руб,Хотел или могу ?) Но в любом случае не более 10000$ ,15%,15 000$ /год,"Я буду свободен , больше не буду раб...","Малий зароботок,  средняя доходность в 8%, малий капитал.",,Зарубежные фондовые рынки,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им, Внутридневная торговля, Криптовалюта, Тех анализ , когда захожу в етот раздел чуствую себя идиотом , десятки показателей о которих я ничего не знаю .","Цена и содержание, если ето будет 20-30 страниц всех параметров (P/E,...)то готов купить , до 1000р",500р- 2500р
12/20/2022 10:34:41,Больше 55,Пол года - год,IT,"Рекомендации,разъяснения к Графикам, советы.","Прогнозы,ссылки на интересные страницы по крипте","Как правильно оценить риски,вовремя войти выйти ,перспективы новых и старых клиентов.",Занимаюсь этим 6-12 месяцев,150-300 тыс. руб,3000-10000 евро,20-50%,10%,Уйду на пепсию,Отсутствие чёткого плана инвестиций ,,Криптовалюта,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Формирование пассивного дохода для выхода на пенсию, Криптовалюта","Зависит от того, что будет внутри продукта",До 200 евро
12/20/2022 10:46:04,31-34,Пол года - год,Работаю в найме,Рассуждения об экономике (лонгриды) ,Книги и фильмы по теме инвестирования ,Мне вполне хватает данных на канале,Занимаюсь инвестированием больше года,50-100 тыс. руб,50000,Больше инфляции,В размере моей зарплаты,У меня будет подушка безопасности ,"Неопределённость, размер зарплаты, малые перспективы роста",,Зарубежные фондовые рынки,"Экономия и планирование расходов, Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей, Криптовалюта","Зависит от того, что будет внутри продукта",Зависит от содержания 
12/20/2022 10:49:33,Больше 55,Пол года - год,Работаю в найме,"обзор эк ситуации ,",криптовалютного рынка ,анализировать текущую ситуацию,Занимаюсь инвестированием больше года,портфель в просадке,"чем больше ,тем лучше",20%,1200000,уеду к морю хотя бы на зиму,1-не хватает средств,"Портфель в минусе ,не всегда могу правильно выйти из позиции",Фондовый рынок РФ,"Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовый рынок России, Криптовалюта","Зависит от того, что будет внутри продукта",20-40 тыс
12/20/2022 10:54:21,21-24,3-6 месяцев,Работаю в найм и учусь на бизнес-аналитика ,"Метрики,совокупность информации,частота выхода.","Может быть я этого не заметил. Однако,я бы хотел посмотреть,как вы берете на лотерейный основе 5 человек и работаете с ними для наглядности,как заработать при помощи инвестиций и сбор информации для этого","Г.эксперность - ваша точка зрения и инвестиции,ваше умение сохранять и приумножать. Тому в чем вы эксперт по моему мнению ","Две недели назад инвестировал в себя т.к. думаю,что на данный момент 2к евро мне дадут сильный толчок и ощутимый эффект только от получения знаний где я смогу зарабатывать в разы больше. А от этоо уже смогу отталкиваться дальше",50-100 тыс. руб,"1,000€",20% годовых,На данный момент я был бы очень рад получать 36000€ ежегодно с инвестиций,"Я думаю,что я смог бы уделять больше времени себя,на осознание себя и пробовал бы себя во всем т.к. время и деньги меня не ограничивали. И по получению ответов я бы стал вкладывать все деньги и время на то,чтобы улучшать свою находку-себя.",1. Постоянная неуверенность в будущем дне . 2. Переживание от возможных трат. (поломка машины и т.д. где мне придется брать деньги в долг) 3. Нереализованность,"Нет нужных знаний,нет человека,которому было бы интересно заняться мной(мастера). Ведь,.тобы стать профессионалом в любом деле нужны не только знания,но и учитель который пустит вас в нужное русло.",Зарубежные фондовые рынки,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Защита накоплений на срок до 2 лет., Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им"," Зависит от совокупности факторов:его стоимость, понятность материала,его так скажем ""выхлоп"".  Если бы я был уверен,что я точно все пойму и смогу этим пользоваться. ",Зависит от того на какую аудиторию вы хотите работать. Вас интересует охват или точечный подход. Вы хотите помочь или заработать.
12/20/2022 10:55:25,25-30,1-3 месяца,Мама😀,Доступным языком объясняете,Про крипту,Как и куда инвестировать деньги ,"Нет, не пробовал-(а)",100-150 тыс. руб,80,500 000,Если в год то примерно 200-300 т.р,Спокойно жить за границей и обеспечить сыну хорошее образование ,"Кредиты, рост цен (меньшее могу себе позволить) и трудности нахождения вне РФ( перекрывают карты,блокируют банки и т.д)",,Криптовалюта,"Понять, как закрыть кредиты и избавиться от долгов, Инвестиции в недвижимость, Инвестиции в фондовые рынки за границей, Криптовалюта","Да, купил(а) бы сразу",20000
12/20/2022 10:58:38,18-21,Больше двух лет,Работаю в найме,Базовое введение в финансы/инвестиции + обзоры рынка,Всё ок,Выбор фин инструмента,"Пробовал-(а), но сейчас не инвестирую",20-50 тыс. руб,30000₽,17% в ₽,100 000₽,Ничего. Жизнь станет ярче и спокойнее,"Готовность посвещать много ремени тому, что не приносит доход. Незнание технического анализа. Незнание фундаментального анализа","Перестала, потому что разочаровалась в рынке",Индексные фонды,"Составление личного/семейного финансового плана, Защита накоплений на срок до 2 лет., Создание собственного инвестиционного портфеля и управление им, Криптовалюта","Зависит от того, что будет внутри продукта",15.000₽
12/20/2022 11:01:41,35-44,1-3 месяца,Работаю в найме,"Психология, мышление ",Увеличить контент относительно сохранения денег,Мышлению,Занимаюсь инвестированием больше года,50-100 тыс. руб,Ту которая мне не понадобиться в ближайшее время ,Для начала научить сохранять с учетом инфляции ,Как зп сейчас,Уйду с работы. Буду заниматься интересными и любимыми вещами,Мало получается откладывать. Нет полного понимания психологии денег,,Фондовый рынок РФ,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Понять, как закрыть кредиты и избавиться от долгов, Защита накоплений на срок до 2 лет., Формирование пассивного дохода для выхода на пенсию","Зависит от того, что будет внутри продукта",Зависит от полезности
12/20/2022 11:04:24,45-55,3-6 месяцев,Работаю в найме,Подробное освещение выбранных тем,Конкретных пошаговых действий,Правильно оценивать риски и выгоды в инвестициях.,Занимаюсь этим 6-12 месяцев,50-100 тыс. руб,100000,1200000,100000,"У меня появится больше свободного времени для себя, семьи и детей. Так же я смогу не останавливаться на достигнутом и преумножать свои доходы, чтобы быть финансово независимым от работы и государства. Больше путешествовать и жить там где мне нравится. В дальнейшем открыть свой бизнес.",1. Нет денег для инвестиций. 2. Нет желаемого пассивного дохода. 3. Средний уровень заработка.,Перестал инвестировать в связи с настоящей экономической обстановкой.,Зарубежные фондовые рынки,"Составление личного/семейного финансового плана, Формирование пассивного дохода для выхода на пенсию, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им","Зависит от того, что будет внутри продукта",не знаю
12/20/2022 11:05:00,45-55,Пол года - год,Работаю в найме,Финансовая аналитика,Всеобъемлюще,Умению анализировать ситуацию и делать правильные выводы,Занимаюсь инвестированием больше года,20-50 тыс. руб,Не менее 10000 в месяц,15%,Минимум 20 тыс.,Дополнительный заработок для дальнейших инвестиций. Что бы на пенсии не нищенствовать,"Один источник поступления денежных средств
Дополнительный расход в виде строительства дома
Не возможность долгосрочного планирования из-за ситуации в стране
",,Самостоятельная торговля на фондовом рынке,"Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в фондовые рынки за границей, Криптовалюта","Зависит от того, что будет внутри продукта",Вопрос творческий
12/20/2022 11:32:13,35-44,Меньше месяца,"Специалист-фрилансер (таргет, СММ, копирайтинг, сторисмейкинг и.т.д)","Аналитика, комментарии",погружение для новичков хотелось бы,Понимать происходящие процессы и их последствия,Планирую начать,150-300 тыс. руб,800 т.р. ,,50 т.р.,сокращу рабочий день,Не хватает финансовой грамотности; Нет Финансового планирования; Нет пенсионной стратегии,"Порог вхождения довольно высокий, новичку тяжело",затрудняюсь определиться,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Создание собственного инвестиционного портфеля и управление им","Зависит от того, что будет внутри продукта",не имею представления
12/20/2022 11:40:50,45-55,Пол года - год,Собственный бизнес,"Доступность в понимании о чем говориться( проговаривается многократно мысль, которая доноситься)",Пока читаю и слушаю,"Чтобы уметь анализировать, нужны источники откуда брать инфу и правильно ее видеть. Этому и учусь",Планирую начать,20-50 тыс. руб,500$, +7% и выше от вложенных средств,500$ и выше,"Наверно ничего глобально не измениться, добавиться неделька отдыха, будет 1+1 , за последних три года я стараюсь уйти от всякой суеты.Занимаюсь своим мелким бизнесом, дом и сад, семья.Живу в РБ","Если это можно назвать проблемой- мало путешествую, больше озоботиться о здоровье( регулярно проходить профосмотры)","в РБ нет таких возможностей ( депозит или доверительное управление, но и это скам",Зарубежные фондовые рынки,"Формирование пассивного дохода для выхода на пенсию, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им, Криптовалюта",Я создаю платформу знаний( минимальную в моем понимании) от которой хочу оттолкнуться в направлении инвестирования,"Этот продукт должен быть в виде дерева, поэтапный. Пример такой: 30 этапов со стоймость 50-100$ "
12/20/2022 12:14:14,31-34,Пол года - год,Работаю в найме,Конкретность,Нет такого,Как заработать много денег,"Нет, не пробовал-(а)",50-100 тыс. руб,20000,,500000,Свобода,Нет денег (умножить на три),Свободных денег нет ,Зарубежные фондовые рынки,"Экономия и планирование расходов, Понять, как закрыть кредиты и избавиться от долгов, Формирование пассивного дохода для выхода на пенсию, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Инвестиции в фондовые рынки за границей, Создание собственного инвестиционного портфеля и управление им",Зависит от стоимости,Не более 5000
12/20/2022 12:28:30,25-30,1-3 месяца,"Специалист-фрилансер (таргет, СММ, копирайтинг, сторисмейкинг и.т.д)",Посты о доходных инвестициях и облигациях,Во что инвестировать начинающим,Финансовой грамотности в целом,"Да, занимаюсь 1-6 месяцев",20-50 тыс. руб,Не более 4-5000₽ в мес на данный момент,,10000₽/мес,"Способ накопления дополнительной подушки безопасности, и капитала на будущее","1.Отсутствие дополнительных источников дохода
2. Возможность ездить в отпуск только 1 раз в год
3. Хочу научиться более грамотно планировать и распределять бюджет",Не хвататет навыков,Фондовый рынок РФ,"Экономия и планирование расходов, Составление личного/семейного финансового плана, Формирование пассивного дохода для выхода на пенсию, Преумножение имеющегося инвестиционного портфеля, Инвестиции в недвижимость, Инвестиции в фондовый рынок России, Создание собственного инвестиционного портфеля и управление им","Зависит от того, что будет внутри продукта",Не более 4000₽
